name,link,date
Letter to Senators urging them to oppose the conference report on the Customs Bill (H.R. 644),www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-to-oppose-the-conference-report-on-the-Customs-Bill-H.R.-644,"February 09, 2016"
"Letter to Representatives opposing the ""Fairness in Class Action Litigation and Furthering Asbestos Claim Transparency Act""",www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-opposing-the-Fairness-in-Class-Action-Litigation-and-Furthering-Asbestos-Claim-Transparency-Act,"January 05, 2016"
AFL-CIO Opposes H-2B  Returning Worker Amendment,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/AFL-CIO-Opposes-H-2B-Returning-Worker-Amendment,"June 13, 2016"
Letter to Representatives in opposition to the Local Radio Freedom Act,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-opposition-to-the-Local-Radio-Freedom-Act,"February 19, 2016"
Letter to Senators in support of the Workplace Action for a Growing Economy Act,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-in-support-of-the-Workplace-Action-for-a-Growing-Economy-Act,"January 07, 2016"
Letter to Representatives in support of The Workplace Action for a Growing Economy Act,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-support-of-The-Workplace-Action-for-a-Growing-Economy-Act,"January 07, 2016"
Myths v Facts Response - ILRWG H-2B Approps FY 2017,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Myths-v-Facts-Response-ILRWG-H-2B-Approps-FY-2017,"June 13, 2016"
Letter in Support of Barack Obama's Veto of DOL Retirement Rule Override,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-in-Support-of-Barack-Obama-s-Veto-of-DOL-Retirement-Rule-Override,"June 21, 2016"
Letter to Senators in opposition to the Local Radio Freedom Act,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-in-opposition-to-the-Local-Radio-Freedom-Act,"February 19, 2016"
Letter to House Education and the Workforce Committee Urging Them to Oppose the Resolution to Block the Dept. of Labor's Persuader Rule,www.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-House-Education-and-the-Workforce-Committee-Urging-Them-to-Oppose-the-Resolution-to-Block-the-Dept.-of-Labor-s-Persuader-Rule,"May 17, 2016"
